Company Name,Industry,Symbol,Series,ISIN Code
Ashapura Minechem Limited,NSE Equity,ASHAPURMIN,EQ,INE348A01023
Ashiana Housing Limited,NSE Equity,ASHIANA,EQ,INE365D01021
Ashika Global Securities Limited,NSE Equity,ASHIKAG,EQ,INE094B01013
Ashima Limited,NSE Equity,ASHIMASYN,EQ,INE440A01010
Ashoka Buildcon Limited,NSE Equity,ASHOKA,EQ,INE442H01029
Ashoka Metcast Limited,NSE Equity,ASHOKAMET,EQ,INE760Y01011
Ashok Leyland Limited,Capital Goods,ASHOKLEY,EQ,INE208A01029
Asian Energy Services Limited,NSE Equity,ASIANENE,EQ,INE276G01015
Asian Hotels (North) Limited,NSE Equity,ASIANHOTNR,EQ,INE363A01022
Asian Paints Limited,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Asian Granito India Limited,NSE Equity,ASIANTILES,EQ,INE022I01019
ASK Automotive Limited,NSE Equity,ASKAUTOLTD,EQ,INE491J01022
Avio Smart Market Stack Limited,NSE Equity,ASMS,BE,INE855F01042
Aspinwall and Company Limited,NSE Equity,ASPINWALL,EQ,INE991I01015
Asian Star Company Limited,NSE Equity,ASTAR,EQ,INE194D01017
Astec LifeSciences Limited,NSE Equity,ASTEC,EQ,INE563J01010
Aster DM Quality Care Limited,Healthcare,ASTERDM,EQ,INE914M01019
Astral Limited,Capital Goods,ASTRAL,EQ,INE006I01046
Astra Microwave Products Limited,NSE Equity,ASTRAMICRO,EQ,INE386C01029
AstraZeneca Pharma India Limited,NSE Equity,ASTRAZEN,EQ,INE203A01020
Astron Paper & Board Mill Limited,NSE Equity,ASTRON,BE,INE646X01014
Atal Realtech Limited,NSE Equity,ATALREAL,EQ,INE0ALR01029
Atam Valves Limited,NSE Equity,ATAM,EQ,INE09KD01013
Adani Total Gas Limited,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
Ather Energy Limited,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016
Allcargo Terminals Limited,NSE Equity,ATL,EQ,INE0NN701020
ATLANTAA LIMITED,NSE Equity,ATLANTAA,EQ,INE285H01022
Atlanta Electricals Limited,NSE Equity,ATLANTAELE,EQ,INE0Z4F01028
Atlas Cycles (Haryana) Limited,NSE Equity,ATLASCYCLE,EQ,INE446A01025
Atul Limited,Chemicals,ATUL,EQ,INE100A01010
Atul Auto Limited,NSE Equity,ATULAUTO,EQ,INE951D01028
AU Small Finance Bank Limited,Financial Services,AUBANK,EQ,INE949L01017
Aurionpro Solutions Limited,NSE Equity,AURIONPRO,EQ,INE132H01018
Aurobindo Pharma Limited,Healthcare,AUROPHARMA,EQ,INE406A01037
Aurum PropTech Limited,NSE Equity,AURUM,EQ,INE898S01029
AURUS GEM CORPORATION LIMITED,NSE Equity,AURUS,EQ,INE142K01011
Ausom Enterprise Limited,NSE Equity,AUSOMENT,BE,INE218C01016
Automotive Axles Limited,NSE Equity,AUTOAXLES,EQ,INE449A01011
Autoline Industries Limited,NSE Equity,AUTOIND,BE,INE718H01014
Avadh Sugar & Energy Limited,NSE Equity,AVADHSUGAR,EQ,INE349W01017
Avalon Technologies Limited,NSE Equity,AVALON,EQ,INE0LCL01028
Avantel Limited,NSE Equity,AVANTEL,EQ,INE005B01027
Avanti Feeds Limited,NSE Equity,AVANTIFEED,EQ,INE871C01038
AVG Logistics Limited,NSE Equity,AVG,BE,INE680Z01018
Aditya Vision Limited,NSE Equity,AVL,EQ,INE679V01027
Avonmore Capital & Management Services Limited,NSE Equity,AVONMORE,EQ,INE323B01024
AVRO INDIA LIMITED,NSE Equity,AVROIND,EQ,INE652Z01025
AVT Natural Products Limited,NSE Equity,AVTNPL,EQ,INE488D01021
Awfis Space Solutions Limited,NSE Equity,AWFIS,EQ,INE108V01019
Antony Waste Handling Cell Limited,NSE Equity,AWHCL,EQ,INE01BK01022
AWL Agri Business Limited,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
Axis Bank Limited,Financial Services,AXISBANK,EQ,INE238A01034
AXISCADES Technologies Limited,NSE Equity,AXISCADES,EQ,INE555B01013
Axita Cotton Limited,NSE Equity,AXITA,EQ,INE02EZ01022
Aye Finance Limited,NSE Equity,AYE,EQ,INE501X01029
AYM Syntex Limited,NSE Equity,AYMSYNTEX,EQ,INE193B01039
Azad Engineering Limited,NSE Equity,AZAD,EQ,INE02IJ01035
Bafna Pharmaceuticals Limited,NSE Equity,BAFNAPH,BE,INE878I01022
B.A.G Films and Media Limited,NSE Equity,BAGFILMS,EQ,INE116D01028
Baid Finserv Limited,NSE Equity,BAIDFIN,EQ,INE020D01022
Bajaj Auto Limited,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Consumer Care Limited,NSE Equity,BAJAJCON,EQ,INE933K01021
Bajaj Electricals Limited,NSE Equity,BAJAJELEC,EQ,INE193E01025
Bajaj Finserv Limited,Financial Services,BAJAJFINSV,EQ,INE918I01026
Bajaj Healthcare Limited,NSE Equity,BAJAJHCARE,EQ,INE411U01027
Bajaj Housing Finance Limited,Financial Services,BAJAJHFL,EQ,INE377Y01014
Bajaj Hindusthan Sugar Limited,NSE Equity,BAJAJHIND,EQ,INE306A01021
Bajaj Holdings & Investment Limited,Financial Services,BAJAJHLDNG,EQ,INE118A01012
Indef Manufacturing Limited,NSE Equity,BAJAJINDEF,EQ,INE0O9T01021
Bajaj Steel Industries Limited,NSE Equity,BAJAJST,EQ,INE704G01024
Bajel Projects Limited,NSE Equity,BAJEL,EQ,INE0KQN01018
Bajaj Finance Limited,Financial Services,BAJFINANCE,EQ,INE296A01032
Shree Tirupati Balajee Agro Trading Company Limited,NSE Equity,BALAJEE,EQ,INE0S2G01011
Balaji Telefilms Limited,NSE Equity,BALAJITELE,EQ,INE794B01026
Balaji Amines Limited,NSE Equity,BALAMINES,EQ,INE050E01027
BALAXI PHARMACEUTICALS LIMITED,NSE Equity,BALAXI,EQ,INE618N01022
Balkrishna Paper Mills Limited,NSE Equity,BALKRISHNA,EQ,INE875R01011
Balkrishna Industries Limited,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026
Balmer Lawrie & Company Limited,NSE Equity,BALMLAWRIE,EQ,INE164A01016
Bal Pharma Limited,NSE Equity,BALPHARMA,EQ,INE083D01012
Balrampur Chini Mills Limited,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028
Balu Forge Industries Limited,NSE Equity,BALUFORGE,EQ,INE011E01029
Banaras Beads Limited,NSE Equity,BANARBEADS,EQ,INE655B01011
Bannari Amman Sugars Limited,NSE Equity,BANARISUG,EQ,INE459A01010
Banco Products (I) Limited,NSE Equity,BANCOINDIA,EQ,INE213C01025
Bandhan Bank Limited,Financial Services,BANDHANBNK,EQ,INE545U01014
Bang Overseas Limited,NSE Equity,BANG,EQ,INE863I01016
Banka BioLoo Limited,NSE Equity,BANKA,BE,INE862Y01015
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bansal Wire Industries Limited,NSE Equity,BANSALWIRE,EQ,INE0B9K01025
Banswara Syntex Limited,NSE Equity,BANSWRAS,EQ,INE629D01020
BASF India Limited,NSE Equity,BASF,EQ,INE373A01013
Bannari Amman Spinning Mills Limited,NSE Equity,BASML,BE,INE186H01022
Bata India Limited,Consumer Durables,BATAINDIA,EQ,INE176A01028
Batliboi Limited,NSE Equity,BATLIBOI,EQ,INE177C01022
Bayer Cropscience Limited,Chemicals,BAYERCROP,EQ,INE462A01022
Bharat Bijlee Limited,NSE Equity,BBL,EQ,INE464A01036
Black Box Limited,NSE Equity,BBOX,EQ,INE676A01027
The Bombay Burmah Trading Corporation Limited,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025
B&B Triplewall Containers Limited,NSE Equity,BBTCL,EQ,INE01EE01011
Brightcom Group Limited,NSE Equity,BCG,EQ,INE425B01027
Bcl Industries Limited,NSE Equity,BCLIND,EQ,INE412G01024
Brand Concepts Limited,NSE Equity,BCONCEPTS,EQ,INE977Y01011
BCPL Railway Infrastructure Limited,NSE Equity,BCPL,EQ,INE00SW01015
Bharat Dynamics Limited,Capital Goods,BDL,EQ,INE171Z01026
Beardsell Limited,NSE Equity,BEARDSELL,EQ,INE520H01022
Mrs. Bectors Food Specialities Limited,NSE Equity,BECTORFOOD,EQ,INE495P01020
Bedmutha Industries Limited,NSE Equity,BEDMUTHA,EQ,INE844K01012
Beekay Steel Industries Limited,NSE Equity,BEEKAY,EQ,INE213D01015
Bharat Electronics Limited,Capital Goods,BEL,EQ,INE263A01024
Bella Casa Fashion & Retail Limited,NSE Equity,BELLACASA,EQ,INE344T01014
Belrise Industries Limited,Automobile and Auto Components,BELRISE,EQ,INE894V01022
BEML Limited,Capital Goods,BEML,EQ,INE258A01024
Bengal & Assam Company Limited,NSE Equity,BENGALASM,EQ,INE083K01017
Bhansali Engineering Polymers Limited,NSE Equity,BEPL,EQ,INE922A01025
Berger Paints (I) Limited,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Best Agrolife Limited,NSE Equity,BESTAGRO,EQ,INE052T01021
Beta Drugs Limited,NSE Equity,BETA,EQ,INE351Y01019
BF Investment Limited,NSE Equity,BFINVEST,EQ,INE878K01010
BF Utilities Limited,NSE Equity,BFUTILITIE,EQ,INE243D01012
BGR Energy Systems Limited,NSE Equity,BGRENERGY,BE,INE661I01014
Bhagiradha Chemicals & Industries Limited,NSE Equity,BHAGCHEM,EQ,INE414D01027
Bhageria Industries Limited,NSE Equity,BHAGERIA,BE,INE354C01027
Bhagyanagar India Limited,NSE Equity,BHAGYANGR,BE,INE458B01036
Bhandari Hosiery Exports Limited,NSE Equity,BHANDARI,BE,INE474E01029
Bharat Coking Coal Limited,NSE Equity,BHARATCOAL,EQ,INE05XR01022
Bharat Forge Limited,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Gears Limited,NSE Equity,BHARATGEAR,BE,INE561C01019
Bharat Rasayan Limited,NSE Equity,BHARATRAS,EQ,INE838B01021
Bharat Seats Limited,NSE Equity,BHARATSE,EQ,INE415D01024
Bharat Wire Ropes Limited,NSE Equity,BHARATWIRE,EQ,INE316L01019
Bharti Airtel Limited,Telecommunication,BHARTIARTL,EQ,INE397D01024
Bharti Hexacom Limited,Telecommunication,BHARTIHEXA,EQ,INE343G01021
Bharat Heavy Electricals Limited,Capital Goods,BHEL,EQ,INE257A01026
Bilcare Limited,NSE Equity,BI,EQ,INE986A01012
Bigbloc Construction Limited,NSE Equity,BIGBLOC,EQ,INE412U01025
Bikaji Foods International Limited,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023
Bhartiya International Limited,NSE Equity,BIL,EQ,INE828A01016
BIL VYAPAR LIMITED,NSE Equity,BILVYAPAR,BE,INE071A01013
Bimetal Bearings Limited,NSE Equity,BIMETAL,EQ,INE469A01019
Biocon Limited,Healthcare,BIOCON,EQ,INE376G01013
Biofil Chemicals & Pharmaceuticals Limited,NSE Equity,BIOFILCHEM,EQ,INE829A01014
Birla Cable Limited,NSE Equity,BIRLACABLE,BE,INE800A01015
Birla Corporation Limited,NSE Equity,BIRLACORPN,EQ,INE340A01012
Aditya Birla Money Limited,NSE Equity,BIRLAMONEY,EQ,INE865C01022
BirlaNu Limited,NSE Equity,BIRLANU,EQ,INE557A01011
Birla Precision Technologies Limited,NSE Equity,BIRLAPREC,EQ,INE372E01025
BLACKBUCK LIMITED,NSE Equity,BLACKBUCK,EQ,INE0UIZ01018
Black Rose Inds. Limited,NSE Equity,BLACKROSE,BE,INE761G01016
BEML Land Assets Limited,NSE Equity,BLAL,EQ,INE0N7W01012
BLB Limited,NSE Equity,BLBLIMITED,EQ,INE791A01024
Balmer Lawrie Investments Limited,NSE Equity,BLIL,EQ,INE525F01025
Bliss GVS Pharma Limited,NSE Equity,BLISSGVS,BE,INE416D01022
B. L. Kashyap and Sons Limited,NSE Equity,BLKASHYAP,EQ,INE350H01032
BLS International Services Limited,Consumer Services,BLS,EQ,INE153T01027
BLS E-Services Limited,NSE Equity,BLSE,EQ,INE0NLT01010
Blue Chip India Limited,NSE Equity,BLUECHIP,BE,INE657B01025
Blue Coast Hotels Limited,NSE Equity,BLUECOAST,BE,INE472B01011
Blue Dart Express Limited,Services,BLUEDART,EQ,INE233B01017
Blue Jet Healthcare Limited,Healthcare,BLUEJET,EQ,INE0KBH01020
Blue Star Limited,Consumer Durables,BLUESTARCO,EQ,INE472A01039
BlueStone Jewellery and Lifestyle Limited,NSE Equity,BLUESTONE,EQ,INE304W01038
Bluspring Enterprises Limited,NSE Equity,BLUSPRING,EQ,INE0U4101014
BMW Ventures Limited,NSE Equity,BMWVENTLTD,EQ,INE965W01036
BN Agrochem Limited,NSE Equity,BNAGROCHEM,BE,INE00HZ01011
B & A Limited,NSE Equity,BNALTD,BE,INE489D01011
Bodal Chemicals Limited,NSE Equity,BODALCHEM,BE,INE338D01028
Bohra Industries Limited,NSE Equity,BOHRAIND,EQ,INE802W01023
Bombay Dyeing & Mfg Company Limited,NSE Equity,BOMDYEING,EQ,INE032A01023
Bonlon Industries Limited,NSE Equity,BONLON,EQ,INE0B9A01018
Borana Weaves Limited,NSE Equity,BORANA,EQ,INE16SF01016
Borosil Limited,NSE Equity,BOROLTD,EQ,INE02PY01013
BOROSIL RENEWABLES LIMITED,NSE Equity,BORORENEW,EQ,INE666D01022
Borosil Scientific Limited,NSE Equity,BOROSCI,EQ,INE02L001032
